CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-85.86817209	-112.2962963	12.66400841	YY	10	0.5400980348	parameters	sharp_wc_2_b_50	4.981481481	2	1.207737663	-2.558325793	1.956080302	0.01147718175	0.08856436577	-3.384847696	1.744401067	0.1956406684	0.6464016138	-3.38329473	1.744343436	0.1955549887	0.6463736621	0.231124387	0.009605203621	-3.111656316	1.048206338	a248bdd	2x2_2C_8b_C2v_L	12	1.529006003	2	1.698813914	1.5290060028053207	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.043466036	0.2858150831	0.1347968388	-1.155170588	1.642048203	-1.280547343	0.267713034	-2.592812711	1.641682136	-1.28055855	-0.2676077601	2.592532143	0.3626937279	-0.3725237642	2.186555254	-3.696147921	2024-07-30@10:34	2.148148148	-0.6818456528	1	2.155688114e-17	-0.3428195703	0.09259259259	-2.114088446e-16	0.1354145233	v2.7.1	
1	Broyden	-85.8269988	-112.2162963	12.65509362	YY	10	0.5394923505	parameters	sharp_wc_2_b_50	4.981481481	2	1.207553101	-2.556137151	1.955891922	0.01160112116	0.08897374899	-3.382558321	1.743647885	0.1959134595	0.6483373216	-3.382484433	1.743743827	0.1960722768	0.6480677036	0.2314563206	0.009622909098	-3.10927346	1.04826898	a248bdd	2x2_2C_8b_C2v_L	11.995	1.528361426	2	1.69835749	1.5283614257800902	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.043412119	0.2868809538	0.1348647119	-1.157184946	1.642000269	-1.284085692	0.2678865341	-2.593921527	1.64196416	-1.283674581	-0.267896688	2.593666159	0.3628934579	-0.3728031662	2.18668347	-3.6958175	2024-07-30@10:36	2.148148148	-0.6826678473	1	9.720659952e-17	-0.3431165643	0.09259259259	-3.770304718e-16	0.1355331548	v2.7.1	
1	Broyden	-85.79307651	-112.1362963	12.64643022	YY	10	0.5388656634	parameters	sharp_wc_2_b_50	4.981481481	2	1.207372495	-2.553672577	1.955709222	0.0120142025	0.08935611941	-3.381739655	1.743008472	0.1961589105	0.6501336634	-3.382460683	1.743192625	0.1968060462	0.6497268795	0.2320258547	0.009646082453	-3.108086114	1.048452781	a248bdd	2x2_2C_8b_C2v_L	11.99	1.527693539	2	1.697914708	1.5276935385779757	1.0000000000000002	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.043364231	0.2879184921	0.1349500522	-1.159045346	1.642235578	-1.28730027	0.2680493073	-2.595048273	1.642506255	-1.286707443	-0.2682918658	2.594907453	0.3632913346	-0.3731681307	2.187270496	-3.695461429	2024-07-30@10:38	2.148148148	-0.6834624685	1	-7.092098692e-17	-0.343408379	0.09259259259	2.314544174e-16	0.1356483337	v2.7.1	
1	Broyden	-85.74464773	-112.0562963	12.63725257	YY	10	0.5382561711	parameters	sharp_wc_2_b_50	4.981481481	2	1.207183116	-2.551098474	1.95552088	0.01229429339	0.08976664061	-3.378584095	1.742227198	0.196408899	0.6520250332	-3.379930393	1.742372705	0.1966780732	0.6517092181	0.2319436434	0.009663929428	-3.105652717	1.048527284	a248bdd	2x2_2C_8b_C2v_L	11.985	1.527046778	2	1.697441321	1.5270467779302834	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.043120188	0.2890026847	0.1350752553	-1.161079505	1.641975768	-1.290868103	0.2682062443	-2.595874551	1.6423394	-1.290399074	-0.2681977454	2.595716829	0.363401937	-0.3734067637	2.187267024	-3.695101257	2024-07-30@10:40	2.148148148	-0.6843128056	1	-4.959140494e-16	-0.3437087942	0.09259259259	2.911470286e-16	0.1357696886	v2.7.1	
1	Broyden	-85.72488071	-111.9762963	12.62864452	YY	10	0.5376286818	parameters	sharp_wc_2_b_50	4.981481481	2	1.207002488	-2.549133683	1.955353688	0.0123847101	0.09016665075	-3.380022023	1.741933559	0.1974625403	0.6531782065	-3.380791205	1.741919922	0.1974486901	0.6533064848	0.2330640599	0.009695170669	-3.106946981	1.048951288	a248bdd	2x2_2C_8b_C2v_L	11.98	1.526373758	2	1.697006451	1.526373757432287	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.043037316	0.2899581364	0.1351581585	-1.163066528	1.642806625	-1.292958157	0.2686413553	-2.596971814	1.643002309	-1.293131002	-0.2686915783	2.597214169	0.3641590704	-0.3738824032	2.188825839	-3.694776564	2024-07-30@10:41	2.148148148	-0.6850974341	1	1.983821e-17	-0.3440036515	0.09259259259	-4.512478487e-16	0.1358863241	v2.7.1	
1	Broyden	-85.69642896	-111.8962963	12.61988893	YY	10	0.537017211	parameters	sharp_wc_2_b_50	4.981481481	2	1.206820108	-2.547069857	1.955176351	0.01236610167	0.09057327432	-3.383285564	1.741614509	0.1986327292	0.6546083055	-3.379890895	1.741306689	0.1980130457	0.6550681809	0.2333804288	0.009714704092	-3.104894772	1.049051056	a248bdd	2x2_2C_8b_C2v_L	11.975	1.525721732	2	1.696559252	1.5257217322981078	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.042942205	0.2909649294	0.1352004923	-1.165022778	1.64414424	-1.295488771	0.2692387711	-2.598573904	1.643305649	-1.296267849	-0.2689643804	2.598421885	0.3644315442	-0.3742044101	2.189033866	-3.694417493	2024-07-30@10:43	2.148148148	-0.685901099	1	-9.461514735e-17	-0.3442978994	0.09259259259	-5.974558887e-17	0.1360011757	v2.7.1	
1	Broyden	-85.69009647	-111.8162963	12.61110888	YY	10	0.5363666511	parameters	sharp_wc_2_b_50	4.981481481	2	1.206636111	-2.547913367	1.955055053	0.01226072005	0.09087828614	-3.385674248	1.741341302	0.1998806166	0.6558540947	-3.384464327	1.741029472	0.19900169	0.6565927674	0.2341289576	0.009741808411	-3.105323064	1.049402296	a248bdd	2x2_2C_8b_C2v_L	11.97	1.52502623	2	1.696112389	1.525026230038082	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.04343161	0.2917764804	0.1351753881	-1.166524532	1.645277184	-1.297677499	0.2698138217	-2.599916389	1.644875689	-1.298761097	-0.2695742445	2.600307263	0.3650761611	-0.3746466872	2.190245624	-3.694028118	2024-07-30@10:45	2.148148148	-0.6867042116	1	7.346960169e-17	-0.3445936541	0.09259259259	-5.889455661e-16	0.13611839	v2.7.1	
1	Broyden	-85.62017405	-111.7362963	12.60114853	YY	10	0.5359084989	parameters	sharp_wc_2_b_50	4.981481481	2	1.206434681	-2.542129604	1.954785184	0.01252990741	0.09150577776	-3.383848139	1.740772295	0.2005510938	0.6574749691	-3.377757311	1.740201692	0.1994964515	0.6582479764	0.2332988401	0.009740119212	-3.099250372	1.049113085	a248bdd	2x2_2C_8b_C2v_L	11.965	1.524539726	2	1.695600482	1.524539725406749	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.04260864	0.2931144463	0.1353586332	-1.169662541	1.645168153	-1.300611093	0.2700969743	-2.60105423	1.64375752	-1.30201195	-0.2694736463	2.600615656	0.3645595486	-0.3745857017	2.18895396	-3.693833343	2024-07-30@10:47	2.148148148	-0.6876415463	1	-3.362190494e-17	-0.3449085257	0.09259259259	-5.809857829e-17	0.1362448428	v2.7.1	
1	Broyden	-85.61476002	-111.6562963	12.59264875	YY	10	0.535233202	parameters	sharp_wc_2_b_50	4.981481481	2	1.206254507	-2.539154672	1.95462774	0.01287410184	0.09183121367	-3.383367207	1.740120749	0.2009486548	0.6593918914	-3.386325637	1.74044887	0.2016628511	0.6588097546	0.2351430536	0.009788874506	-3.102274538	1.049722174	a248bdd	2x2_2C_8b_C2v_L	11.96	1.523814683	2	1.695170751	1.523814683097556	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.042418367	0.2939948595	0.1353888519	-1.171058936	1.645622815	-1.303857077	0.2702991159	-2.602395554	1.646382943	-1.3029267	-0.2705548675	2.60237296	0.3657754856	-0.3753647672	2.191008474	-3.6933769	2024-07-30@10:49	2.148148148	-0.6884115269	1	2.844574319e-16	-0.3452010379	0.09259259259	6.747966388e-17	0.1363616535	v2.7.1	
1	Broyden	-85.56123312	-111.5762963	12.58330714	YY	10	0.534683705	parameters	sharp_wc_2_b_50	4.981481481	2	1.206062393	-2.536750625	1.95442785	0.01270008982	0.09227771944	-3.377955617	1.739177814	0.2009575983	0.6614695868	-3.386005017	1.739869777	0.2022468389	0.660539035	0.2343140311	0.009793010072	-3.097326	1.049523293	a248bdd	2x2_2C_8b_C2v_L	11.955	1.523230479	2	1.694689849	1.5232304787160227	0.9999999999999997	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.042248339	0.2950882153	0.1354134737	-1.173181674	1.644828049	-1.307744021	0.2702371676	-2.60306623	1.646751553	-1.306086082	-0.2709239961	2.603627738	0.3654776043	-0.3754133428	2.190214058	-3.693123848	2024-07-30@10:51	2.148148148	-0.6892799957	1	3.962530664e-16	-0.3455035861	0.09259259259	1.277719064e-16	0.1364835607	v2.7.1	
1	Broyden	-85.53882387	-111.4962963	12.57470102	YY	10	0.5340316126	parameters	sharp_wc_2_b_50	4.981481481	2	1.2058812	-2.53682618	1.954257029	0.01240311663	0.09271312777	-3.383061757	1.739068741	0.2025213336	0.662529114	-3.380828376	1.738902146	0.2021265567	0.6626527166	0.2349568386	0.009825931907	-3.098083075	1.049916614	a248bdd	2x2_2C_8b_C2v_L	11.95	1.522533645	2	1.694249384	1.522533644711289	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.04252276	0.2961273311	0.1354696348	-1.175322498	1.64664468	-1.309681859	0.2710493122	-2.604538214	1.646111612	-1.309965296	-0.2707193964	2.604157277	0.3661152228	-0.3758687442	2.19147473	-3.692706785	2024-07-30@10:52	2.148148148	-0.6900654162	1	-1.850040851e-16	-0.3457931966	0.09259259259	-3.434033016e-16	0.1365992734	v2.7.1	
1	Broyden	-85.50273194	-111.4162963	12.56508415	YY	10	0.5335394067	parameters	sharp_wc_2_b_50	4.981481481	2	1.205683709	-2.53107606	1.954052385	0.01266469358	0.09317594715	-3.383562761	1.738754941	0.2037276842	0.6638143211	-3.383421322	1.738810108	0.2039132356	0.6636068681	0.2351063137	0.009840563113	-3.095272768	1.049928609	a248bdd	2x2_2C_8b_C2v_L	11.945	1.522004064	2	1.693763302	1.5220040642545085	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.04169654	0.297111338	0.1355214822	-1.177452065	1.647163015	-1.31182379	0.2715566333	-2.605998649	1.647177556	-1.311555253	-0.2715351499	2.60577209	0.3662755156	-0.3761327183	2.191412931	-3.692500736	2024-07-30@10:54	2.148148148	-0.6909587273	1	5.388061297e-16	-0.3461077013	0.09259259259	1.957219265e-16	0.1367250298	v2.7.1	
